,ITTER107,Territorio,TIPO_DATO15,Tipo dato,ETA1,Classe di età,SEXISTAT1,Sesso,CITTADINANZA,Cittadinanza,TIME,Seleziona periodo,Value,Flag Codes,Flags
878308,IT,Italia,JAN,popolazione al 1º gennaio,Y19,19 anni,9,totale,FRG,straniero-a,2018,2018,55431,,
16990,IT,Italia,JAN,popolazione al 1º gennaio,Y2,2 anni,9,totale,ITL,italiano-a,2018,2018,417398,,
745396,IT,Italia,JAN,popolazione al 1º gennaio,Y2,2 anni,9,totale,FRG,straniero-a,2018,2018,65412,,
145348,IT,Italia,JAN,popolazione al 1º gennaio,Y20,20 anni,9,totale,ITL,italiano-a,2018,2018,527094,,
886462,IT,Italia,JAN,popolazione al 1º gennaio,Y20,20 anni,9,totale,FRG,straniero-a,2018,2018,58372,,
159010,IT,Italia,JAN,popolazione al 1º gennaio,Y21,21 anni,9,totale,ITL,italiano-a,2018,2018,527018,,
895948,IT,Italia,JAN,popolazione al 1º gennaio,Y21,21 anni,9,totale,FRG,straniero-a,2018,2018,60604,,
167002,IT,Italia,JAN,popolazione al 1º gennaio,Y22,22 anni,9,totale,ITL,italiano-a,2018,2018,523741,,
899872,IT,Italia,JAN,popolazione al 1º gennaio,Y22,22 anni,9,totale,FRG,straniero-a,2018,2018,62525,,
174076,IT,Italia,JAN,popolazione al 1º gennaio,Y23,23 anni,9,totale,ITL,italiano-a,2018,2018,528329,,
959002,IT,Italia,JAN,popolazione al 1º gennaio,Y23,23 anni,9,totale,FRG,straniero-a,2018,2018,65676,,
166858,IT,Italia,JAN,popolazione al 1º gennaio,Y24,24 anni,9,totale,ITL,italiano-a,2018,2018,539940,,
908782,IT,Italia,JAN,popolazione al 1º gennaio,Y24,24 anni,9,totale,FRG,straniero-a,2018,2018,67763,,
186856,IT,Italia,JAN,popolazione al 1º gennaio,Y25,25 anni,9,totale,ITL,italiano-a,2018,2018,558713,,
912652,IT,Italia,JAN,popolazione al 1º gennaio,Y25,25 anni,9,totale,FRG,straniero-a,2018,2018,75320,,
194902,IT,Italia,JAN,popolazione al 1º gennaio,Y26,26 anni,9,totale,ITL,italiano-a,2018,2018,554553,,
922516,IT,Italia,JAN,popolazione al 1º gennaio,Y26,26 anni,9,totale,FRG,straniero-a,2018,2018,77969,,
200662,IT,Italia,JAN,popolazione al 1º gennaio,Y27,27 anni,9,totale,ITL,italiano-a,2018,2018,557268,,
926620,IT,Italia,JAN,popolazione al 1º gennaio,Y27,27 anni,9,totale,FRG,straniero-a,2018,2018,88668,,
202660,IT,Italia,JAN,popolazione al 1º gennaio,Y28,28 anni,9,totale,ITL,italiano-a,2018,2018,549294,,
932218,IT,Italia,JAN,popolazione al 1º gennaio,Y28,28 anni,9,totale,FRG,straniero-a,2018,2018,95221,,
209896,IT,Italia,JAN,popolazione al 1º gennaio,Y29,29 anni,9,totale,ITL,italiano-a,2018,2018,555933,,
945286,IT,Italia,JAN,popolazione al 1º gennaio,Y29,29 anni,9,totale,FRG,straniero-a,2018,2018,103701,,
22642,IT,Italia,JAN,popolazione al 1º gennaio,Y3,3 anni,9,totale,ITL,italiano-a,2018,2018,432262,,
767068,IT,Italia,JAN,popolazione al 1º gennaio,Y3,3 anni,9,totale,FRG,straniero-a,2018,2018,66382,,
217132,IT,Italia,JAN,popolazione al 1º gennaio,Y30,30 anni,9,totale,ITL,italiano-a,2018,2018,538318,,
946690,IT,Italia,JAN,popolazione al 1º gennaio,Y30,30 anni,9,totale,FRG,straniero-a,2018,2018,108318,,
224494,IT,Italia,JAN,popolazione al 1º gennaio,Y31,31 anni,9,totale,ITL,italiano-a,2018,2018,539597,,
960424,IT,Italia,JAN,popolazione al 1º gennaio,Y31,31 anni,9,totale,FRG,straniero-a,2018,2018,110851,,
224512,IT,Italia,JAN,popolazione al 1º gennaio,Y32,32 anni,9,totale,ITL,italiano-a,2018,2018,559723,,
