,ITTER107,Territorio,TIPO_DATO15,Tipo di indicatore demografico,SEXISTAT1,Sesso,ETA1,Età,STATCIV2,Stato civile,TIME,Seleziona periodo,Value,Flag Codes,Flags
237199,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y31,31 anni,99,totale,2019,2019,328519,,
237429,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y31,31 anni,2,coniugata/o,2019,2019,79604,,
245295,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y32,32 anni,1,nubile/celibe,2019,2019,231760,,
245300,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y32,32 anni,2,coniugata/o,2019,2019,96152,,
245305,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y32,32 anni,3,divorziata/o,2019,2019,1397,,
245310,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y32,32 anni,4,vedova/o,2019,2019,84,,
245315,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y32,32 anni,99,totale,2019,2019,329625,,
999010,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y32,32 anni,17,già in unione civile (per scioglimento unione),2019,2019,2,,
248436,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y33,33 anni,1,nubile/celibe,2019,2019,223361,,
248441,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y33,33 anni,2,coniugata/o,2019,2019,112954,,
248446,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y33,33 anni,3,divorziata/o,2019,2019,1978,,
248451,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y33,33 anni,4,vedova/o,2019,2019,96,,
248456,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y33,33 anni,99,totale,2019,2019,338601,,
983440,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y33,33 anni,17,già in unione civile (per scioglimento unione),2019,2019,2,,
262320,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y34,34 anni,1,nubile/celibe,2019,2019,210671,,
262325,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y34,34 anni,2,coniugata/o,2019,2019,131222,,
262330,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y34,34 anni,3,divorziata/o,2019,2019,2481,,
262335,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y34,34 anni,4,vedova/o,2019,2019,130,,
266420,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y34,34 anni,99,totale,2019,2019,344688,,
269340,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y35,35 anni,1,nubile/celibe,2019,2019,200052,,
269345,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y35,35 anni,2,coniugata/o,2019,2019,146974,,
269350,IT,Italia,JAN,popolazione al 1º gennaio,1,maschi,Y35,35 anni,3,divorziata/o,2019,2019,3205,,
